SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
GREENCHEF,SM,79.55,79.55,76.25,77,76.25,79,6400,497360.00,07-Oct-2024,8,INE0O7P01015
VINEETLAB,EQ,57.39,57.99,53.16,54,53.4,56.97,21057,1159253.65,07-Oct-2024,637,INE505Y01010
METALIETF,EQ,10.24,10.28,9.8,9.94,10.05,10.14,7345960,73169893.37,07-Oct-2024,8149,INF109KC19W1
MEDIORG,SM,62.5,66.9,60,61,61,63.25,68000,4284200.00,07-Oct-2024,13,INE0PE401018
SGBJ28VIII,GB,8051,8300,8051,8300,8300,8121,9,72708.00,07-Oct-2024,3,IN0020190537
AGARIND,EQ,1131.85,1132.1,1050,1074.2,1076.5,1122.65,48451,52405697.45,07-Oct-2024,3949,INE204E01012
BALUFORGE,EQ,772.2,780.45,686.85,707.9,712,766.35,859556,621220267.10,07-Oct-2024,27067,INE011E01029
PROZONER,EQ,25.63,25.86,23.5,23.91,23.75,25.4,401519,9728793.52,07-Oct-2024,2223,INE195N01013
RVNL,EQ,490.4,498,442.3,451.7,450,493.4,13067372,6051190114.40,07-Oct-2024,355309,INE415G01027
HDFCNIFIT,EQ,43.48,43.73,42.23,43.19,43.1,42.95,44683,1936299.88,07-Oct-2024,340,INF179KC1IA8
HIGREEN,SM,266.5,266.8,235.3,236.8,236.9,260.9,148000,36432640.00,07-Oct-2024,165,INE0PIC01017
753NTPC30E,NC,1075,1075,1075,1075,1075,1071.81,8,8600.00,07-Oct-2024,1,INE733E07JV4
VAKRANGEE,EQ,31.29,31.56,27.63,27.64,27.63,30.71,44324088,1281949132.33,07-Oct-2024,47623,INE051B01021
JPPOWER,EQ,19.43,19.59,18.45,18.45,18.45,19.43,71026435,1319895535.38,07-Oct-2024,49540,INE351F01018
LATENTVIEW,EQ,460.3,465.25,451.1,456.25,456,460.3,306834,140527056.70,07-Oct-2024,16012,INE0I7C01011
