SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
SADHNANIQ,EQ,54.5,54.5,52.9,53.24,53.9,54.01,214177,11421339.83,11-Oct-2024,2101,INE888C01040
UNOMINDA,EQ,1010.4,1010.4,979.3,985.75,988,1002.85,937214,925916694.60,11-Oct-2024,48929,INE405E01023
901NHB34,N6,6695,6695,6695,6695,6695,6655,10,66950.00,11-Oct-2024,1,INE557F07132
COROMANDEL,EQ,1623.1,1643,1613.65,1638.95,1633.85,1628.05,99503,162141588.90,11-Oct-2024,9186,INE169A01031
DHANI,EQ,64.1,68.4,63.31,65.21,65.3,64.83,13359592,874073143.52,11-Oct-2024,49010,INE274G01010
DWARKESH,EQ,72.72,73.32,72.72,72.95,73.15,73.25,367863,26834723.45,11-Oct-2024,3173,INE366A01041
GUJGASLTD,EQ,603.3,605.25,597.55,600.1,600,602.9,323483,194223001.30,11-Oct-2024,13163,INE844O01030
HDFCNIF100,EQ,27.5,27.5,26.44,26.6,26.6,26.63,116749,3103436.27,11-Oct-2024,598,INF179KC1HR4
KONTOR,ST,150,152,148.25,149,148.25,150,13200,1978920.00,11-Oct-2024,11,INE0KZ301010
MAANALU,EQ,222.8,223.69,208.61,211.4,211.05,227.94,1181180,254750352.56,11-Oct-2024,18215,INE215I01027
QUADPRO,SM,5.85,5.85,5.75,5.75,5.75,5.6,24000,139200.00,11-Oct-2024,2,INE0GOJ01027
SALZERELEC,EQ,1086,1134.35,1076.15,1115.65,1113,1074.4,228129,253752296.60,11-Oct-2024,12239,INE457F01013
SPMLINFRA,BE,259.4,259.4,249,255.85,256,257.7,29809,7597164.15,11-Oct-2024,234,INE937A01023
ABSLPSE,EQ,10.99,11,10.73,10.85,10.89,10.87,54513,592718.58,11-Oct-2024,437,INF209KB19Z4
EQUAL50ADD,EQ,335.96,335.96,329.71,332.32,332.73,332.21,4996,1657317.43,11-Oct-2024,188,INF740KA1QK2
GREENPLY,EQ,378.75,380,373.85,378.5,379.5,378.75,50838,19170704.40,11-Oct-2024,5106,INE461C01038
KCP,EQ,240.2,240.85,235,237.45,236.8,239.9,244925,58237957.15,11-Oct-2024,11870,INE805C01028
GOLDETF,EQ,74.79,74.79,73.98,74.48,74.52,73.81,128213,9553920.23,11-Oct-2024,951,INF769K01JP9
PODDARHOUS,BZ,75.5,75.5,69.25,71.51,70.05,72.52,120,8877.37,11-Oct-2024,17,INE888B01018
891IIFCL34,N4,1315,1340,1311,1313.21,1340,1310.53,218,286459.00,11-Oct-2024,5,INE787H07370
ACI,EQ,674,681.2,670.1,672.35,672.5,670.95,161640,109227654.40,11-Oct-2024,12651,INE128X01021
AUTOAXLES,EQ,1892.85,1902.35,1876.05,1881.2,1879.05,1892.85,3223,6065903.95,11-Oct-2024,700,INE449A01011
CYBERMEDIA,EQ,28.53,32,28.27,29.69,29.6,28.77,438275,13111228.92,11-Oct-2024,4220,INE278G01037
INVENTURE,EQ,2.32,2.39,2.31,2.37,2.37,2.31,3461425,8176170.34,11-Oct-2024,1951,INE878H01024
MRO-TEK,EQ,101.99,102.4,98.99,101.32,99.65,102.65,115949,11777417.99,11-Oct-2024,526,INE398B01018
SANGHIIND,EQ,83.27,84.5,82.9,83.11,83.38,83.26,105501,8795341.86,11-Oct-2024,1502,INE999B01013
SHOPERSTOP,EQ,779.25,785,766.95,772.75,770,773.6,15483,11992373.65,11-Oct-2024,2087,INE498B01024
TIMETECHNO,EQ,384.25,397.8,382.1,394.85,395.3,384.5,957927,375370297.20,11-Oct-2024,25836,INE508G01029
BORORENEW,EQ,467.95,468,460.25,461.9,462.3,467.85,179613,83107797.60,11-Oct-2024,13068,INE666D01022
